Epoch 1/100, Train Loss: 0.5199, Test Loss: 0.3745, Train Accuracy: 0.7454, Train Precision: 0.7350, Train Recall: 0.7524, Train F1 Score: 0.7436, Train AUC-ROC: 0.8287, Test Accuracy: 0.8607, Test Precision: 0.8225, Test Recall: 0.9026, Test F1 Score: 0.8607, Test AUC-ROC: 0.9231
Epoch 48/100, Train Loss: 0.1980, Test Loss: 0.2256, Train Accuracy: 0.9350, Train Precision: 0.9376, Train Recall: 0.9333, Train F1 Score: 0.9354, Train AUC-ROC: 0.9746, Test Accuracy: 0.9319, Test Precision: 0.9290, Test Recall: 0.9401, Test F1 Score: 0.9345, Test AUC-ROC: 0.9660

Epoch 49/100, Train Loss: 0.1949, Test Loss: 0.2302, Train Accuracy: 0.9385, Train Precision: 0.9414, Train Recall: 0.9364, Train F1 Score: 0.9389, Train AUC-ROC: 0.9752, Test Accuracy: 0.9288, Test Precision: 0.9053, Test Recall: 0.9563, Test F1 Score: 0.9301, Test AUC-ROC: 0.9682

Epoch 50/100, Train Loss: 0.2000, Test Loss: 0.2404, Train Accuracy: 0.9292, Train Precision: 0.9322, Train Recall: 0.9272, Train F1 Score: 0.9297, Train AUC-ROC: 0.9742, Test Accuracy: 0.9288, Test Precision: 0.8994, Test Recall: 0.9620, Test F1 Score: 0.9297, Test AUC-ROC: 0.9670

Epoch 51/100, Train Loss: 0.1901, Test Loss: 0.2711, Train Accuracy: 0.9354, Train Precision: 0.9361, Train Recall: 0.9353, Train F1 Score: 0.9357, Train AUC-ROC: 0.9770, Test Accuracy: 0.9195, Test Precision: 0.8935, Test Recall: 0.9497, Test F1 Score: 0.9207, Test AUC-ROC: 0.9606

Epoch 52/100, Train Loss: 0.1895, Test Loss: 0.2271, Train Accuracy: 0.9404, Train Precision: 0.9407, Train Recall: 0.9407, Train F1 Score: 0.9407, Train AUC-ROC: 0.9766, Test Accuracy: 0.9350, Test Precision: 0.9349, Test Recall: 0.9405, Test F1 Score: 0.9377, Test AUC-ROC: 0.9667

Epoch 53/100, Train Loss: 0.1899, Test Loss: 0.2332, Train Accuracy: 0.9342, Train Precision: 0.9330, Train Recall: 0.9359, Train F1 Score: 0.9344, Train AUC-ROC: 0.9761, Test Accuracy: 0.9350, Test Precision: 0.9349, Test Recall: 0.9405, Test F1 Score: 0.9377, Test AUC-ROC: 0.9651

Epoch 54/100, Train Loss: 0.1995, Test Loss: 0.2197, Train Accuracy: 0.9346, Train Precision: 0.9337, Train Recall: 0.9359, Train F1 Score: 0.9348, Train AUC-ROC: 0.9741, Test Accuracy: 0.9381, Test Precision: 0.9349, Test Recall: 0.9461, Test F1 Score: 0.9405, Test AUC-ROC: 0.9666

Epoch 55/100, Train Loss: 0.1878, Test Loss: 0.2094, Train Accuracy: 0.9365, Train Precision: 0.9399, Train Recall: 0.9342, Train F1 Score: 0.9370, Train AUC-ROC: 0.9773, Test Accuracy: 0.9412, Test Precision: 0.9408, Test Recall: 0.9464, Test F1 Score: 0.9436, Test AUC-ROC: 0.9704

Epoch 56/100, Train Loss: 0.1973, Test Loss: 0.2101, Train Accuracy: 0.9389, Train Precision: 0.9414, Train Recall: 0.9371, Train F1 Score: 0.9393, Train AUC-ROC: 0.9753, Test Accuracy: 0.9381, Test Precision: 0.9586, Test Recall: 0.9257, Test F1 Score: 0.9419, Test AUC-ROC: 0.9723

Epoch 57/100, Train Loss: 0.1904, Test Loss: 0.2367, Train Accuracy: 0.9373, Train Precision: 0.9422, Train Recall: 0.9336, Train F1 Score: 0.9379, Train AUC-ROC: 0.9769, Test Accuracy: 0.9257, Test Precision: 0.8935, Test Recall: 0.9618, Test F1 Score: 0.9264, Test AUC-ROC: 0.9679

Epoch 58/100, Train Loss: 0.1951, Test Loss: 0.2203, Train Accuracy: 0.9404, Train Precision: 0.9445, Train Recall: 0.9373, Train F1 Score: 0.9409, Train AUC-ROC: 0.9757, Test Accuracy: 0.9319, Test Precision: 0.9231, Test Recall: 0.9455, Test F1 Score: 0.9341, Test AUC-ROC: 0.9686

Epoch 59/100, Train Loss: 0.1919, Test Loss: 0.2287, Train Accuracy: 0.9400, Train Precision: 0.9438, Train Recall: 0.9373, Train F1 Score: 0.9405, Train AUC-ROC: 0.9759, Test Accuracy: 0.9350, Test Precision: 0.9349, Test Recall: 0.9405, Test F1 Score: 0.9377, Test AUC-ROC: 0.9656

Epoch 60/100, Train Loss: 0.1909, Test Loss: 0.2315, Train Accuracy: 0.9396, Train Precision: 0.9438, Train Recall: 0.9365, Train F1 Score: 0.9401, Train AUC-ROC: 0.9767, Test Accuracy: 0.9381, Test Precision: 0.9290, Test Recall: 0.9515, Test F1 Score: 0.9401, Test AUC-ROC: 0.9644

Epoch 61/100, Train Loss: 0.1898, Test Loss: 0.2153, Train Accuracy: 0.9385, Train Precision: 0.9407, Train Recall: 0.9371, Train F1 Score: 0.9389, Train AUC-ROC: 0.9772, Test Accuracy: 0.9443, Test Precision: 0.9408, Test Recall: 0.9521, Test F1 Score: 0.9464, Test AUC-ROC: 0.9678

Epoch 62/100, Train Loss: 0.1927, Test Loss: 0.2607, Train Accuracy: 0.9400, Train Precision: 0.9414, Train Recall: 0.9393, Train F1 Score: 0.9404, Train AUC-ROC: 0.9759, Test Accuracy: 0.9319, Test Precision: 0.8994, Test Recall: 0.9682, Test F1 Score: 0.9325, Test AUC-ROC: 0.9617

Epoch 63/100, Train Loss: 0.1908, Test Loss: 0.2310, Train Accuracy: 0.9338, Train Precision: 0.9322, Train Recall: 0.9358, Train F1 Score: 0.9340, Train AUC-ROC: 0.9768, Test Accuracy: 0.9288, Test Precision: 0.9408, Test Recall: 0.9244, Test F1 Score: 0.9326, Test AUC-ROC: 0.9651

Epoch 64/100, Train Loss: 0.1899, Test Loss: 0.2474, Train Accuracy: 0.9420, Train Precision: 0.9484, Train Recall: 0.9368, Train F1 Score: 0.9426, Train AUC-ROC: 0.9766, Test Accuracy: 0.9381, Test Precision: 0.9172, Test Recall: 0.9627, Test F1 Score: 0.9394, Test AUC-ROC: 0.9651

Epoch 65/100, Train Loss: 0.1844, Test Loss: 0.2468, Train Accuracy: 0.9408, Train Precision: 0.9453, Train Recall: 0.9374, Train F1 Score: 0.9413, Train AUC-ROC: 0.9777, Test Accuracy: 0.9226, Test Precision: 0.8817, Test Recall: 0.9675, Test F1 Score: 0.9226, Test AUC-ROC: 0.9688

Epoch 66/100, Train Loss: 0.1894, Test Loss: 0.2034, Train Accuracy: 0.9365, Train Precision: 0.9384, Train Recall: 0.9355, Train F1 Score: 0.9369, Train AUC-ROC: 0.9776, Test Accuracy: 0.9350, Test Precision: 0.9527, Test Recall: 0.9253, Test F1 Score: 0.9388, Test AUC-ROC: 0.9719

Epoch 67/100, Train Loss: 0.1820, Test Loss: 0.2089, Train Accuracy: 0.9423, Train Precision: 0.9453, Train Recall: 0.9402, Train F1 Score: 0.9428, Train AUC-ROC: 0.9779, Test Accuracy: 0.9443, Test Precision: 0.9467, Test Recall: 0.9467, Test F1 Score: 0.9467, Test AUC-ROC: 0.9712

Epoch 68/100, Train Loss: 0.1800, Test Loss: 0.2176, Train Accuracy: 0.9420, Train Precision: 0.9438, Train Recall: 0.9409, Train F1 Score: 0.9423, Train AUC-ROC: 0.9780, Test Accuracy: 0.9381, Test Precision: 0.9349, Test Recall: 0.9461, Test F1 Score: 0.9405, Test AUC-ROC: 0.9695

Epoch 69/100, Train Loss: 0.1881, Test Loss: 0.2163, Train Accuracy: 0.9400, Train Precision: 0.9445, Train Recall: 0.9366, Train F1 Score: 0.9405, Train AUC-ROC: 0.9762, Test Accuracy: 0.9381, Test Precision: 0.9408, Test Recall: 0.9408, Test F1 Score: 0.9408, Test AUC-ROC: 0.9688

Epoch 70/100, Train Loss: 0.1895, Test Loss: 0.2124, Train Accuracy: 0.9392, Train Precision: 0.9430, Train Recall: 0.9365, Train F1 Score: 0.9397, Train AUC-ROC: 0.9769, Test Accuracy: 0.9412, Test Precision: 0.9408, Test Recall: 0.9464, Test F1 Score: 0.9436, Test AUC-ROC: 0.9693

Epoch 71/100, Train Loss: 0.1873, Test Loss: 0.2317, Train Accuracy: 0.9358, Train Precision: 0.9422, Train Recall: 0.9307, Train F1 Score: 0.9364, Train AUC-ROC: 0.9771, Test Accuracy: 0.9319, Test Precision: 0.9349, Test Recall: 0.9349, Test F1 Score: 0.9349, Test AUC-ROC: 0.9675

Epoch 72/100, Train Loss: 0.1957, Test Loss: 0.2165, Train Accuracy: 0.9385, Train Precision: 0.9407, Train Recall: 0.9371, Train F1 Score: 0.9389, Train AUC-ROC: 0.9755, Test Accuracy: 0.9412, Test Precision: 0.9467, Test Recall: 0.9412, Test F1 Score: 0.9440, Test AUC-ROC: 0.9702

Epoch 73/100, Train Loss: 0.1856, Test Loss: 0.2463, Train Accuracy: 0.9431, Train Precision: 0.9499, Train Recall: 0.9376, Train F1 Score: 0.9437, Train AUC-ROC: 0.9778, Test Accuracy: 0.9288, Test Precision: 0.8935, Test Recall: 0.9679, Test F1 Score: 0.9292, Test AUC-ROC: 0.9675

Epoch 74/100, Train Loss: 0.1815, Test Loss: 0.2239, Train Accuracy: 0.9431, Train Precision: 0.9453, Train Recall: 0.9417, Train F1 Score: 0.9435, Train AUC-ROC: 0.9785, Test Accuracy: 0.9319, Test Precision: 0.9172, Test Recall: 0.9509, Test F1 Score: 0.9337, Test AUC-ROC: 0.9698

Epoch 75/100, Train Loss: 0.1791, Test Loss: 0.2241, Train Accuracy: 0.9420, Train Precision: 0.9468, Train Recall: 0.9382, Train F1 Score: 0.9425, Train AUC-ROC: 0.9786, Test Accuracy: 0.9319, Test Precision: 0.9053, Test Recall: 0.9623, Test F1 Score: 0.9329, Test AUC-ROC: 0.9696

Epoch 76/100, Train Loss: 0.1849, Test Loss: 0.2274, Train Accuracy: 0.9381, Train Precision: 0.9391, Train Recall: 0.9377, Train F1 Score: 0.9384, Train AUC-ROC: 0.9777, Test Accuracy: 0.9319, Test Precision: 0.9053, Test Recall: 0.9623, Test F1 Score: 0.9329, Test AUC-ROC: 0.9704

Epoch 77/100, Train Loss: 0.1871, Test Loss: 0.2203, Train Accuracy: 0.9396, Train Precision: 0.9399, Train Recall: 0.9399, Train F1 Score: 0.9399, Train AUC-ROC: 0.9773, Test Accuracy: 0.9319, Test Precision: 0.9053, Test Recall: 0.9623, Test F1 Score: 0.9329, Test AUC-ROC: 0.9710

Epoch 78/100, Train Loss: 0.1820, Test Loss: 0.2337, Train Accuracy: 0.9447, Train Precision: 0.9492, Train Recall: 0.9412, Train F1 Score: 0.9451, Train AUC-ROC: 0.9788, Test Accuracy: 0.9288, Test Precision: 0.9112, Test Recall: 0.9506, Test F1 Score: 0.9305, Test AUC-ROC: 0.9686

